TYPE,POSITIONX,POSITIONY,WIDTH,HEIGHT,SPECIAL,ROTATION
SURFACE,300,300,150,100,GRASS,0
SURFACE,380,340,150,100,GRASS,0
SURFACE,500,500,500,230,GRASS,0
SURFACE,0,0,150,100,GRASS,0
SURFACE,2450,0,300,185,GRASS,0
SURFACE,1200,600,150,100,GRASS,0
SURFACE,138,300,150,120,GRASS,0
SURFACE,1000,455,100,200,GRASS,0
SURFACE,908,300,180,170,GRASS,0
SURFACE,1080,360,120,120,GRASS,0
SURFACE,678,600,234,80,GRASS,0
SURFACE,418,377,189,299,GRASS,0
SURFACE,888,288,234,234,GRASS,0
SURFACE,560,4500,121,370,GRASS,0
SURFACE,1118,420,158,124,GRASS,0
SURFACE,660,0,220,430,GRASS,0
SURFACE,700,600,120,330,GRASS,0
SURFACE,0,480,120,100,GRASS,0
SURFACE,1360,680,220,230,GRASS,0
SURFACE,0,400,220,130,GRASS,0
SURFACE,1000,680,220,230,GRASS,0
SURFACE,1400,0,220,230,GRASS,0
SURFACE,50,80,1370,130,ASPHALT,0
SURFACE,50,640,1370,130,ASPHALT,0
SURFACE,50,80,130,640,ASPHALT,0
SURFACE,1290,80,130,640,ASPHALT,0
SURFACE,200,90,40,110,FINISHLINE,0
SURFACE,400,46,85,60,SIDE,0
SURFACE,572,46,85,60,SIDE,0
SURFACE,486,46,85,60,SIDE,0
SURFACE,550,606,85,60,SIDE,0
SURFACE,722,606,85,60,SIDE,0
SURFACE,636,606,85,60,SIDE,0
SURFACE,200,744,85,60,SIDE,180
SURFACE,286,744,85,60,SIDE,180
SURFACE,372,744,85,60,SIDE,180
WALL,50,50,120,30,NOTHING,0
WALL,1300,50,120,30,NOTHING,0
WALL,50,800,120,30,NOTHING,0
WALL,20,100,30,120,NOTHING,0
WALL,20,600,30,120,NOTHING,0
WALL,180,420,30,120,NOTHING,0
WALL,200,610,120,30,NOTHING,0
WALL,1420,515,30,120,NOTHING,0
WALL,1148,210,141,55,WITH_TIRES,0
WALL,1148,589,141,55,WITH_TIRES,0
WALL,1420,100,141,55,WITH_TIRES,90
